台灣,#genre#
CNN,https://hls-gateway.vpstv.net/streams/488932.m3u8
民視 HD,https://hls-gateway.vpstv.net/streams/476986.m3u8
人间卫视 HD,https://hls-gateway.vpstv.net/streams/488957.m3u8
台視 HD,https://hls-gateway.vpstv.net/streams/476982.m3u8
大愛電視 HD,https://hls-gateway.vpstv.net/streams/477082.m3u8
中視 HD,https://hls-gateway.vpstv.net/streams/476983.m3u8
霹雳台湾 HD,https://hls-gateway.vpstv.net/streams/488941.m3u8
华視 HD,https://hls-gateway.vpstv.net/streams/476985.m3u8
公視 HD,https://hls-gateway.vpstv.net/streams/476984.m3u8
幸福空間居家台 HD,https://hls-gateway.vpstv.net/streams/488986.m3u8
好消息,https://hls-gateway.vpstv.net/streams/476227.m3u8
原住民頻道,https://hls-gateway.vpstv.net/streams/476228.m3u8
客家電視台 HD,https://hls-gateway.vpstv.net/streams/476229.m3u8
BBC Earth,https://hls-gateway.vpstv.net/streams/477040.m3u8
Discovery,https://hls-gateway.vpstv.net/streams/476277.m3u8
TLC旅遊台,https://hls-gateway.vpstv.net/streams/488939.m3u8
動物星球,https://hls-gateway.vpstv.net/streams/477088.m3u8
CN卡通,https://hls-gateway.vpstv.net/streams/476247.m3u8
Nickjr卡通台,https://hls-gateway.vpstv.net/streams/477025.m3u8
MOMO親子台,https://hls-gateway.vpstv.net/streams/477060.m3u8
东森幼幼 HD,https://hls-gateway.vpstv.net/streams/476246.m3u8
纬来綜合 HD,https://hls-gateway.vpstv.net/streams/477086.m3u8
八大第1台 HD,https://hls-gateway.vpstv.net/streams/477071.m3u8
八大綜合台 HD,https://hls-gateway.vpstv.net/streams/477069.m3u8
三立台湾台 HD,https://hls-gateway.vpstv.net/streams/477050.m3u8
三立都會台 HD,https://hls-gateway.vpstv.net/streams/476232.m3u8
韓國娛樂台 HD,https://hls-gateway.vpstv.net/streams/708919.m3u8
東森綜合 HD,https://hls-gateway.vpstv.net/streams/476987.m3u8
東森超視 HD,https://hls-gateway.vpstv.net/streams/476234.m3u8
東森購物2,https://hls-gateway.vpstv.net/streams/488988.m3u8
東森亞洲衛視 HD,https://hls-gateway.vpstv.net/streams/476264.m3u8
中天綜合 HD,https://hls-gateway.vpstv.net/streams/477084.m3u8
中天亞洲台,https://hls-gateway.vpstv.net/streams/476241.m3u8
TVBS精彩台,https://hls-gateway.vpstv.net/streams/477075.m3u8
中天娱乐 HD,https://hls-gateway.vpstv.net/streams/476996.m3u8
東森戲劇 HD,https://hls-gateway.vpstv.net/streams/476994.m3u8
八大戏剧台 HD,https://hls-gateway.vpstv.net/streams/488934.m3u8
TVBS歡樂台 ,https://hls-gateway.vpstv.net/streams/477068.m3u8
纬來戲劇 HD,https://hls-gateway.vpstv.net/streams/477067.m3u8
八大精彩台,https://hls-gateway.vpstv.net/streams/477035.m3u8
MOMOTV HD,https://hls-gateway.vpstv.net/streams/476239.m3u8
東森購物3,https://hls-gateway.vpstv.net/streams/488989.m3u8
東森購物1,https://hls-gateway.vpstv.net/streams/488987.m3u8
三立財經新聞 HD,https://hls-gateway.vpstv.net/streams/488992.m3u8
壹新聞 HD,https://hls-gateway.vpstv.net/streams/488993.m3u8
年代新闻 HD,http://211.23.114.106:8517/http/60.251.39.91:8081/hls/67/809/ch27.m3u8
東森新聞 HD,https://hls-gateway.vpstv.net/streams/476998.m3u8
中天新聞,https://hls-gateway.vpstv.net/streams/477695.m3u8
民視新聞 HD,https://hls-gateway.vpstv.net/streams/479210.m3u8
三立新聞 HD,https://hls-gateway.vpstv.net/streams/492922.m3u8
TVBS新闻台 ,https://hls-gateway.vpstv.net/streams/708927.m3u8
TVBS綜合 ,https://hls-gateway.vpstv.net/streams/477042.m3u8
東森財經新聞 HD,https://hls-gateway.vpstv.net/streams/477062.m3u8
非凡新聞 ,https://hls-gateway.vpstv.net/streams/477083.m3u8
華視新聞 HD,https://hls-gateway.vpstv.net/streams/476266.m3u8
东森购物5,https://hls-gateway.vpstv.net/streams/493136.m3u8
美亞電影台,https://hls-gateway.vpstv.net/streams/709286.m3u8
東森電影 HD,https://hls-gateway.vpstv.net/streams/476995.m3u8
纬来电影 HD,https://hls-gateway.vpstv.net/streams/477063.m3u8
龍祥時代 HD,https://hls-gateway.vpstv.net/streams/476295.m3u8
HBO HD,https://hls-gateway.vpstv.net/streams/476278.m3u8
東森洋片 HD,https://hls-gateway.vpstv.net/streams/476997.m3u8
AXN壹湾,https://hls-gateway.vpstv.net/streams/476296.m3u8
Hollywood HD,https://hls-gateway.vpstv.net/streams/477065.m3u8
壹电影 HD,https://hls-gateway.vpstv.net/streams/476280.m3u8
CINEMAX,https://hls-gateway.vpstv.net/streams/476283.m3u8
纬來育樂,https://hls-gateway.vpstv.net/streams/477081.m3u8
纬来体育 HD,https://hls-gateway.vpstv.net/streams/477026.m3u8
DAZN 1,https://hls-gateway.vpstv.net/streams/639643.m3u8
DAZN 2,https://hls-gateway.vpstv.net/streams/476991.m3u8
MOMO綜合台,https://hls-gateway.vpstv.net/streams/488940.m3u8
壹綜合 HD,https://hls-gateway.vpstv.net/streams/709284.m3u8
纬来日本 HD,https://hls-gateway.vpstv.net/streams/477039.m3u8
國興衛視,https://hls-gateway.vpstv.net/streams/476971.m3u8
BBC Lifestyle HD,https://hls-gateway.vpstv.net/streams/476671.m3u8
三立綜合台,https://hls-gateway.vpstv.net/streams/476257.m3u8
Z频道 HD,https://hls-gateway.vpstv.net/streams/525785.m3u8
ANIMAX,https://hls-gateway.vpstv.net/streams/477583.m3u8
纬来精彩 HD,https://hls-gateway.vpstv.net/streams/476286.m3u8
寰宇新聞台,https://hls-gateway.vpstv.net/streams/476270.m3u8
寰宇财经台,https://hls-gateway.vpstv.net/streams/488994.m3u8
历史频道,https://hls-gateway.vpstv.net/streams/525779.m3u8
EYE戲劇台,https://hls-gateway.vpstv.net/streams/476287.m3u8
八大娛樂台 HD,https://hls-gateway.vpstv.net/streams/477064.m3u8
三立戲劇台,https://hls-gateway.vpstv.net/streams/476288.m3u8
非凡商业台,https://hls-gateway.vpstv.net/streams/488936.m3u8
達文西頻道,https://hls-gateway.vpstv.net/streams/493134.m3u8
探索亞洲,https://hls-gateway.vpstv.net/streams/476978.m3u8
探索科学,https://hls-gateway.vpstv.net/streams/489008.m3u8
華納電影,https://hls-gateway.vpstv.net/streams/476301.m3u8
美食星球,https://hls-gateway.vpstv.net/streams/476263.m3u8
HGTV居家樂活,https://hls-gateway.vpstv.net/streams/476328.m3u8
彭博财经台,https://hls-gateway.vpstv.net/streams/493132.m3u8
